en_name,zh_name
Forehead,前額
Whole body,全身
Muscles near the shoulder bones and thoracic vertebrae,近肩夾骨和胸椎間肌肉部位
Thoracic vertebrae,胸椎
Lumbar spine,腰椎
L3-L4,L3-L4
L4-L5,L4-L5
L5-L6,L5-L6
Hip joint,髖關節
Sciatica,坐骨神經痛
Tail bone,尾龍骨
Right hand,右手
"Right index finger, trigger finger",右手食指扳機指
Right back,右邊背
Right waist,右腰
Right hip,右邊臀部
Right knee,右膝
Exterior right knee joint,右外側膝關節
Right leg,右腿
Exterior right leg,右腳外側
Left hand,左手
"Left index finger, trigger finger",左手食指扳機指
Left back,左邊背
Left waist,左腰
Left hip,左邊臀部
Left knee,左膝
Exterior left knee joint,左外側膝關節
Left leg,左腿
Exterior left leg,左腳外側
